Restaurant ID,Restaurant Name,City,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Aggregate rating,Rating text,Votes
18336183,Biryani Sons & Co.,New Delhi,"Biryani, North Indian",400,No,Yes,3.8,Good,63
18472416,Curry Tree,New Delhi,North Indian,700,No,No,3.5,Good,18
306636,Deli 63,New Delhi,"Fast Food, Street Food",300,No,Yes,3.6,Good,52
300335,Friends Shawarma,New Delhi,"North Indian, Mughlai",350,No,No,3.5,Good,107
311379,Ganesh Restaurant,New Delhi,"North Indian, Mughlai",550,No,Yes,3.8,Good,105
18379474,Kake Da Hotel,New Delhi,North Indian,600,No,Yes,3.6,Good,29
309307,Nirmal Vada Pav,New Delhi,Street Food,200,No,Yes,3.5,Good,75
312425,Oasis Baklawa,New Delhi,Fast Food,400,No,Yes,3.5,Good,76
7291,Puri Bakers,New Delhi,"Bakery, Fast Food",300,No,Yes,3.6,Good,108
18163915,Wonder Taste of Spices,New Delhi,"North Indian, Chinese, Fast Food",600,No,Yes,3.6,Good,75
18233583,Biryaniwala,New Delhi,"Biryani, North Indian",300,No,Yes,2.1,Poor,68
310630,Firangi N More,New Delhi,"Chinese, Fast Food",400,No,Yes,2.2,Poor,43
7271,Pakwan,New Delhi,"North Indian, Chinese, Mughlai",700,No,Yes,2.1,Poor,45
18138442,Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",500,No,Yes,2.3,Poor,31
308559,24x7,New Delhi,"North Indian, Continental, Chinese",1200,Yes,No,3.1,Average,18
18358841,Cafe Cook,New Delhi,"Fast Food, Desserts",400,No,Yes,2.8,Average,15
18397140,La-Nawaab,New Delhi,"North Indian, Mughlai, Chinese",500,No,No,3,Average,5
18168171,Roadside Cafe,New Delhi,"Chinese, North Indian",450,No,Yes,2.8,Average,55
18458961,Royal India Food Plaza,New Delhi,North Indian,400,No,No,3.2,Average,12
18208914,Sir John Bakery Cafe,New Delhi,"Bakery, Desserts, Fast Food",500,No,Yes,3.4,Average,27
18231410,Bikku Bakes,New Delhi,"Bakery, Desserts",300,No,No,3.7,Good,59
18037850,Giani,New Delhi,"Ice Cream, Desserts",400,No,No,3.5,Good,65
307501,Zune - Piccadily Hotel,New Delhi,"North Indian, Kashmiri, Mughlai",2000,Yes,No,2.6,Average,67
3362,361 Restaurant & Banquet,New Delhi,"North Indian, Chinese, Seafood",1100,Yes,Yes,3.4,Average,67
18424879,6 Pack Momos,New Delhi,Chinese,300,No,No,2.8,Average,7
18363074,Amritsari Kulcha,New Delhi,North Indian,100,No,No,3.1,Average,4
18386078,Bake Houz,New Delhi,Bakery,300,No,Yes,3,Average,4
313146,Ben's Foods,New Delhi,"North Indian, Chinese",350,No,Yes,3.2,Average,9
3967,Bobby Punjabi Rasoi,New Delhi,"North Indian, Mughlai",650,No,Yes,2.6,Average,113
18378050,Bromfy Public House,New Delhi,"Continental, Italian, North Indian, Lebanese",1600,No,No,2.8,Average,27
309685,BTW,New Delhi,"Street Food, South Indian",400,No,No,2.8,Average,63
8940,Chacha Shankar,New Delhi,North Indian,650,No,No,3.2,Average,29
300672,Chaska,New Delhi,"North Indian, South Indian, Chinese, Fast Food",500,No,Yes,3.2,Average,161
313355,Chatore.e.e,New Delhi,"North Indian, Mughlai, Chinese",400,No,Yes,3.2,Average,38
2958,Chawla's Tandoori Xpress,New Delhi,"North Indian, Mughlai",600,No,No,2.5,Average,75
304093,Chawla's Tandoori Xpress,New Delhi,"North Indian, Mughlai",600,No,No,3.2,Average,45
6453,Chinese Hut,New Delhi,Chinese,450,No,Yes,2.9,Average,60
18456456,Culinaria,New Delhi,"North Indian, Chinese, Continental, Thai",1000,Yes,No,3.3,Average,10
18306511,Deli Cake Cafe,New Delhi,"Bakery, Fast Food, Chinese",250,No,Yes,3.4,Average,33
214,Domino's Pizza,New Delhi,"Pizza, Fast Food",700,No,No,3.2,Average,73
3892,Domino's Pizza,New Delhi,"Pizza, Fast Food",700,No,No,2.6,Average,65
300873,Dragon Hut,New Delhi,"Chinese, Fast Food",400,No,Yes,3.3,Average,72
307419,Frontier Restaurant,New Delhi,"North Indian, Chinese",600,No,No,2.5,Average,7
5862,Giani's,New Delhi,"Ice Cream, Desserts",400,No,Yes,3.1,Average,36
18477957,Giani,New Delhi,"Ice Cream, Desserts",400,No,No,2.9,Average,6
18398575,Grand Bikaner,New Delhi,"Mithai, Street Food",200,No,Yes,3,Average,5
1123,Hill Chillz 26,New Delhi,"Ice Cream, Desserts",150,No,No,3.1,Average,41
313443,K's Town,New Delhi,"North Indian, Mughlai",500,No,Yes,2.8,Average,20
306816,Laxmi Ice Cream Parlour,New Delhi,"Ice Cream, Desserts",200,No,No,3.1,Average,12
312471,Make My Day,New Delhi,"Desserts, Bakery, Fast Food",400,No,Yes,3.1,Average,25
194,McDonald's,New Delhi,"Fast Food, Burger",500,No,Yes,3.3,Average,58
1959,Mikky Peshawari,New Delhi,"North Indian, Mughlai",600,No,Yes,2.8,Average,49
17977763,Moroca,New Delhi,Fast Food,350,No,Yes,3.2,Average,31
8941,New Punjabi Dhaba and Caterers,New Delhi,"North Indian, Chinese",400,No,No,3.2,Average,39
308607,Pandey Chinese Hut,New Delhi,"Chinese, Fast Food",500,No,Yes,2.7,Average,43
313442,Pandey Chinese Hut,New Delhi,"Chinese, Fast Food",500,No,Yes,2.7,Average,7
18358201,Peppers & Pipes,New Delhi,"Chinese, Italian, Continental",600,No,Yes,3.1,Average,15
5392,Punjabi Zaika,New Delhi,"North Indian, Chinese",400,No,No,3.3,Average,110
312334,Punjabi's Eating Hub,New Delhi,"North Indian, Chinese",550,No,Yes,3.3,Average,31
18396440,Punjabian Di Shaan,New Delhi,"North Indian, Mughlai, Chinese",500,No,Yes,2.6,Average,4
3966,Puran Chand,New Delhi,North Indian,750,No,Yes,2.6,Average,48
304389,Ram Chinese Food,New Delhi,Chinese,400,No,No,2.9,Average,9
18175260,Rooftop,New Delhi,"North Indian, Chinese, Italian",600,No,Yes,3.3,Average,24
18057827,Ruchi's Food Junction,New Delhi,"North Indian, Mughlai",400,No,Yes,2.7,Average,8
8961,Sahni Veg & Non Veg,New Delhi,"North Indian, Mughlai",600,No,No,3.1,Average,26
312327,Shiv Chinese Chat Bhandar,New Delhi,Chinese,400,No,No,3.1,Average,13
306809,Shutup 'N' Eat,New Delhi,"North Indian, Fast Food",500,No,Yes,3.2,Average,158
9792,Sindhi Chicken Corner,New Delhi,"North Indian, Mughlai",600,No,Yes,3,Average,80
18218787,Smokshh The Lounge,New Delhi,"Cafe, North Indian, Chinese",600,No,No,3.4,Average,25
311512,Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",500,No,Yes,3.3,Average,77
18421020,The Blessing Bliss,New Delhi,"North Indian, Continental, Chinese",1000,Yes,No,3.4,Average,21
308364,The Butter Cup,New Delhi,"Bakery, Desserts",400,No,No,3,Average,7
307276,The Cake Bucks,New Delhi,"Bakery, Fast Food, Chinese",300,No,Yes,3.3,Average,85
18350101,The Taste of Delhi,New Delhi,North Indian,500,No,Yes,3.3,Average,128
18361220,The Taste,New Delhi,"Chinese, Fast Food",250,No,No,3,Average,4
311576,VadaPav 'n' Frankie,New Delhi,Fast Food,100,No,No,3,Average,5
300836,Vaishnav Chat & Caterers,New Delhi,"Street Food, North Indian",300,No,No,3.3,Average,34
18265418,Yellowtail,New Delhi,"North Indian, Chinese, Fast Food",600,No,Yes,3.1,Average,19
18017253,Baker's Stop,New Delhi,"Bakery, Desserts, Fast Food",350,No,No,3.7,Good,71
300872,Bansal Sweets,New Delhi,Mithai,100,No,No,3.9,Good,91
3333,Bharat Sweets,New Delhi,"Mithai, Street Food",250,No,No,3.5,Good,26
6451,Dosa Corner,New Delhi,"South Indian, Chinese",300,No,No,3.6,Good,93
6454,Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",350,No,No,3.6,Good,68
18476960,Greenvich,New Delhi,"Chinese, Continental",350,No,No,3.6,Good,40
18398592,Hamburg To Hyderabad,New Delhi,"Hyderabadi, Fast Food",300,No,Yes,3.9,Good,63
18265676,I Food You,New Delhi,"Continental, North Indian",600,No,Yes,3.9,Good,92
3080,Kay's Chicken Corner,New Delhi,"Mughlai, North Indian, Chinese",700,No,No,3.6,Good,103
313173,Lanche,New Delhi,"Fast Food, Healthy Food",600,No,No,3.7,Good,105
18476896,Marshmallow Cakes & More,New Delhi,Bakery,300,No,No,3.5,Good,10
306011,Om Corner,New Delhi,Street Food,100,No,No,3.7,Good,57
4683,Peshawari,New Delhi,North Indian,500,No,No,3.6,Good,79
18222572,Puri Bakers,New Delhi,"Bakery, Fast Food",300,No,Yes,3.9,Good,72
18464054,Republic Of Food Lovers,New Delhi,Fast Food,400,No,No,3.6,Good,27
8964,Sharma Bakers,New Delhi,Bakery,200,No,Yes,3.5,Good,33
18322667,Street Hawkers,New Delhi,"Chinese, Beverages",350,No,Yes,3.5,Good,32
311209,The Midnight Heroes,New Delhi,"North Indian, Biryani, Chinese, Fast Food",950,No,Yes,3.6,Good,379
6449,Tilak Munjal-R Panchkuian Samose Wale,New Delhi,Street Food,100,No,Yes,3.5,Good,98
18363081,3x Cafe,New Delhi,"Fast Food, Desserts, Beverages",450,No,No,0,Not rated,0
18451571,Amritsari Naan,New Delhi,North Indian,200,No,No,0,Not rated,0
18359282,Chinese Tadka,New Delhi,Chinese,250,No,No,0,Not rated,0
18361222,Dinesh Meat Wala,New Delhi,Mughlai,400,No,No,0,Not rated,0
18358182,Jeet Pizza,New Delhi,"Pizza, Fast Food",200,No,Yes,0,Not rated,3
18361223,New South Indian & Chinese Foods,New Delhi,"South Indian, Chinese",200,No,No,0,Not rated,2
18451573,Niti Shake & Ice Cream Hub,New Delhi,"Desserts, Beverages",200,No,No,0,Not rated,2
18396396,Yumbuns,New Delhi,Fast Food,200,No,No,0,Not rated,1
312763,Giri Momos Centre & Chinese Fast Food,New Delhi,Chinese,300,No,Yes,2.4,Poor,69
307444,Laalwala's,New Delhi,"North Indian, Mithai, South Indian, Street Food, Chinese",500,No,Yes,2.4,Poor,37
305398,Sagar Ratna,New Delhi,"South Indian, North Indian, Chinese",600,No,Yes,2.3,Poor,131
302815,Babu Shahi Bawarchi,New Delhi,Biryani,300,No,No,3.3,Average,100
305525,Cafe Lota,New Delhi,"North Indian, South Indian, Bihari",1200,No,No,4.5,Excellent,2213
